185 -16.665344,-4.207409,1.736814 -0.499529 -0.290763 -0.023543
186 -17.152443,-1.979916,0.516576 -0.217692 -0.026157 -0.326560
187 -3.689777,-16.862030,0.908530 -0.385978 -0.648037 0.001766
188 -14.293928,-8.707448,4.294580 -0.690867 -0.202891 0.235669
189 -5.910155,-15.367624,5.260339 -0.611845 -0.494499 0.255537
190 -5.736254,-15.153304,6.020030 -0.630884 -0.491915 0.286487
191 -17.085276,-1.968440,1.619141 -0.299465 -0.042768 -0.250373
192 -5.423237,-15.482939,5.444110 -0.590768 -0.505595 0.249052
193 -12.661287,-10.596153,5.103591 -0.662624 -0.199105 0.255192
194 -3.532743,-16.858355,1.445298 -0.381374 -0.660080 0.018149
195 -17.011255,-2.302360,1.931146 -0.358418 -0.082050 -0.184503
196 -4.410187,-16.101957,4.478562 -0.492528 -0.580926 0.184527
197 -12.831348,-10.278399,5.323424 -0.677058 -0.193343 0.255755
198 -3.751450,-16.635885,2.820239 -0.410830 -0.675977 0.085580
199 -4.031444,-16.324966,4.003173 -0.452285 -0.632794 0.156523
200 -3.555432,-16.614027,3.180632 -0.399265 -0.709637 0.102064
201 -4.564295,-15.637306,5.781283 -0.551181 -0.533356 0.246631
202 -16.955029,-2.240691,2.433671 -0.395583 -0.103002 -0.140950
203 -14.782749,-6.797209,5.815421 -0.821884 -0.247491 0.196477
204 9.439762,-3.017282,14.157844 0.224021 0.014903 -0.005550
205 5.090946,5.508899,15.563006 0.133651 0.194366 -0.195176
206 9.066475,-2.808858,14.441726 0.210592 0.021250 -0.004527
207 6.169521,4.989579,15.346915 0.139218 0.183160 -0.152236
208 12.153324,-1.206853,12.225211 0.295993 0.054988 -0.120846
209 11.571301,-1.233439,12.775048 0.277382 0.050028 -0.094023
210 3.417492,9.532273,13.993720 0.102682 0.212842 -0.182512
211 2.613304,11.126517,12.949634 0.085912 0.202333 -0.181403
212 6.411362,5.674119,15.005645 0.139824 0.191229 -0.143135
213 3.470737,10.543029,13.234004 0.102669 0.211142 -0.173090
214 3.743130,10.185283,13.438743 0.106985 0.213272 -0.170874
215 2.749571,11.394092,12.685779 0.089155 0.202277 -0.179276
216 3.103706,11.227344,12.752803 0.096072 0.206478 -0.174416
217 2.374207,12.406856,11.777808 0.081829 0.188030 -0.184683
218 3.515028,10.915664,12.915992 0.103917 0.211264 -0.169348
219 2.908947,11.604697,12.457040 0.092393 0.202458 -0.176004
220 2.735046,12.057929,12.059062 0.089730 0.196786 -0.178438
221 -17.095182,-2.460973,0.316402 -0.247515 -0.072032 -0.281244
222 -17.014311,-2.955977,0.434594 -0.296057 -0.132741 -0.223608
223 -13.185366,-10.648271,3.373013 -0.628631 -0.206702 0.256145
224 -16.342682,-5.327058,1.736802 -0.535316 -0.488852 0.084558
